instance,algorithm,bks,T_ms,primal_integral_mean,runs
C101,grasp,827.3,20000,0.0078,10
C101,rgrasp,827.3,20000,10.0,10
C101,tabu,827.3,20000,0.006,1
C101,vnd,827.3,20000,0.0,1
C102,grasp,827.3,20000,0.0472,10
C102,rgrasp,827.3,20000,10.0,10
C102,tabu,827.3,20000,0.0298,1
C102,vnd,827.3,20000,0.0,1
C103,grasp,826.3,20000,0.1281,10
C103,rgrasp,826.3,20000,10.0,10
C103,tabu,826.3,20000,0.4333,1
C103,vnd,826.3,20000,6.6199,1
C106,grasp,827.3,20000,0.0115,10
C106,rgrasp,827.3,20000,10.0,10
C106,tabu,827.3,20000,0.0183,1
C106,vnd,827.3,20000,0.0,1
C109,grasp,827.3,20000,0.0334,10
C109,rgrasp,827.3,20000,10.0,10
C109,tabu,827.3,20000,0.0255,1
C109,vnd,827.3,20000,2.4417,1
C201,grasp,589.1,20000,0.0017,10
C201,rgrasp,589.1,20000,10.0,10
C201,tabu,589.1,20000,0.004,1
C201,vnd,589.1,20000,0.0,1
C202,grasp,589.1,20000,0.0763,10
C202,rgrasp,589.1,20000,10.0,10
C202,tabu,589.1,20000,4.9365,1
C202,vnd,589.1,20000,4.8888,1
C204,grasp,588.1,20000,3.8959,10
C204,rgrasp,588.1,20000,10.0,10
C204,tabu,588.1,20000,4.6935,1
C204,vnd,588.1,20000,17.276,1
C205,grasp,586.4,20000,0.0143,10
C205,rgrasp,586.4,20000,10.0,10
C205,tabu,586.4,20000,0.0336,1
C205,vnd,586.4,20000,3.4789,1
R101,grasp,1637.7,20000,0.335,10
R101,rgrasp,1637.7,20000,10.0,10
R101,tabu,1637.7,20000,0.4337,1
R101,vnd,1637.7,20000,2.2471,1
R104,grasp,971.5,20000,3.4749,10
R104,rgrasp,971.5,20000,10.0,10
R104,tabu,971.5,20000,3.6185,1
R104,vnd,971.5,20000,6.6186,1
R106,grasp,1234.6,20000,2.0958,10
R106,rgrasp,1234.6,20000,10.0,10
R106,tabu,1234.6,20000,2.8526,1
R106,vnd,1234.6,20000,4.7465,1
R109,grasp,1146.9,20000,2.5477,10
R109,rgrasp,1146.9,20000,10.0,10
R109,tabu,1146.9,20000,4.3852,1
R109,vnd,1146.9,20000,10.3845,1
R110,grasp,1068.0,20000,4.6013,10
R110,rgrasp,1068.0,20000,10.0,10
R110,tabu,1068.0,20000,4.0281,1
R110,vnd,1068.0,20000,11.7416,1
R112,grasp,948.6,20000,4.5495,10
R112,rgrasp,948.6,20000,10.0,10
R112,tabu,948.6,20000,4.8205,1
R112,vnd,948.6,20000,13.0824,1
R201,grasp,1143.2,20000,6.2586,10
R201,rgrasp,1143.2,20000,10.0,10
R201,tabu,1143.2,20000,7.3196,1
R201,vnd,1143.2,20000,11.7302,1
R203,grasp,870.8,20000,6.3177,10
R203,rgrasp,870.8,20000,10.0,10
R203,tabu,870.8,20000,7.6917,1
R203,vnd,870.8,20000,11.0932,1
R205,grasp,949.8,20000,5.3316,10
R205,rgrasp,949.8,20000,10.0,10
R205,tabu,949.8,20000,9.2053,1
R205,vnd,949.8,20000,17.6563,1
R206,grasp,875.9,20000,5.8339,10
R206,rgrasp,875.9,20000,10.0,10
R206,tabu,875.9,20000,8.3199,1
R206,vnd,875.9,20000,18.1185,1
R210,grasp,900.5,20000,5.7865,10
R210,rgrasp,900.5,20000,10.0,10
R210,tabu,900.5,20000,3.3192,1
R210,vnd,900.5,20000,8.0622,1
RC101,grasp,1619.8,20000,1.8171,10
RC101,rgrasp,1619.8,20000,10.0,10
RC101,tabu,1619.8,20000,3.5141,1
RC101,vnd,1619.8,20000,5.3587,1
RC104,grasp,1132.3,20000,2.7334,10
RC104,rgrasp,1132.3,20000,10.0,10
RC104,tabu,1132.3,20000,4.2771,1
RC104,vnd,1132.3,20000,6.1115,1
RC106,grasp,1372.7,20000,3.253,10
RC106,rgrasp,1372.7,20000,10.0,10
RC106,tabu,1372.7,20000,2.6197,1
RC106,vnd,1372.7,20000,12.3771,1
RC107,grasp,1207.8,20000,3.8149,10
RC107,rgrasp,1207.8,20000,10.0,10
RC107,tabu,1207.8,20000,4.3874,1
RC107,vnd,1207.8,20000,7.3025,1
RC201,grasp,1261.8,20000,5.7801,10
RC201,rgrasp,1261.8,20000,10.0,10
RC201,tabu,1261.8,20000,8.904,1
RC201,vnd,1261.8,20000,18.4578,1
RC204,grasp,783.5,20000,3.6316,10
RC204,rgrasp,783.5,20000,10.0,10
RC204,tabu,783.5,20000,3.355,1
RC204,vnd,783.5,20000,6.8411,1
RC205,grasp,1154.0,20000,7.6703,10
RC205,rgrasp,1154.0,20000,10.0,10
RC205,tabu,1154.0,20000,11.5489,1
RC205,vnd,1154.0,20000,19.662,1
RC207,grasp,962.9,20000,6.9585,10
RC207,rgrasp,962.9,20000,10.0,10
RC207,tabu,962.9,20000,7.9185,1
RC207,vnd,962.9,20000,14.7056,1
